publisher,title,summary,pubdate,link,thumblink
New York Times,"Canadian Teenage Murder Suspects Found Dead in Manitoba, Police Say","The Canadian police have been searching for the suspects since mid-July, when the bodies of three people were found in British Columbia.","Wed, 07 Aug 2019 23:35:45 +0000",https://www.nytimes.com/2019/08/07/world/canada/canada-manhunt-fugitive-kam-mcleod-bryer-schmegelsky.html?emc=rss&partner=rss,
New York Times,A Yearslong Battle Over Kafka’s Legacy Ends in Jerusalem,The arrival in Israel of a final batch of the writer’s documents serves as a coda to a legal saga that many compared to a Kafka novel.,"Wed, 07 Aug 2019 16:06:40 +0000",https://www.nytimes.com/2019/08/07/books/kafka-archive-jerusalem-israel.html?emc=rss&partner=rss,
New York Times,"Want to Stop Gulls From Stealing Your Food? Stare Them Down, Study Says",New research in Britain suggests that gulls take behavioral cues from people when foraging in urban environments.,"Wed, 07 Aug 2019 16:42:01 +0000",https://www.nytimes.com/2019/08/07/world/europe/gulls-food-staring.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07seagulls/07seagulls-moth.jpg
New York Times,Lawmaker Kicked Out of Kenyan Parliament for Taking Baby to Work,Zuleikha Hassan said she took her 5-month-old to the National Assembly because an emergency had left her without child care. She was escorted from the chamber.,"Wed, 07 Aug 2019 16:21:24 +0000",https://www.nytimes.com/2019/08/07/world/africa/kenya-parliament-baby.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/09/06/world/07kenya-parliament/06kenya-parliament-moth.jpg
New York Times,"Pakistan Hits Back at India Over Kashmir Move, Targeting Bilateral Trade","Prime Minister Imran Khan denounced his Indian counterpart, Narendra Modi, for promoting “an ideology that puts Hindus above all other religions.”","Wed, 07 Aug 2019 18:27:56 +0000",https://www.nytimes.com/2019/08/07/world/asia/pakistan-kashmir-india.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07kashmir1/07kashmir1-moth.jpg
New York Times,"U.S. Orders Freeze of Foreign Aid, Bypassing Congress","The Office of Management and Budget is reviewing the use of the money, suggesting that it could cut the funding entirely.","Thu, 08 Aug 2019 04:26:06 +0000",https://www.nytimes.com/2019/08/07/us/politics/foreign-aid-freeze-congress.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/us/politics/07dc-diplo1/07dc-diplo1-moth.jpg
New York Times,"El Paso, Toni Morrison, China: Your Wednesday Briefing",Here’s what you need to know.,"Wed, 07 Aug 2019 13:05:38 +0000",https://www.nytimes.com/2019/08/07/briefing/el-paso-toni-morrison-china.html?emc=rss&partner=rss,
New York Times,Chinese Official Warns Hong Kong Protesters Against ‘Color Revolution’,"“The violence is getting more and more intense” in Hong Kong, the mainland official said just days after protests and a citywide strike resulted in clashes with the police.","Thu, 08 Aug 2019 04:40:29 +0000",https://www.nytimes.com/2019/08/07/world/asia/hong-kong-protests-china-violence.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07hongkong-1/07hongkong-1-moth.jpg
New York Times,Violence in Afghanistan Worsens as U.S.-Taliban Peace Talks Plod On,"Insurgents claimed responsibility for a bombing in Kabul that killed 14 and wounded scores, a majority of them civilians.","Wed, 07 Aug 2019 20:28:04 +0000",https://www.nytimes.com/2019/08/07/world/asia/kabul-afghanistan-bombing-taliban.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07afghanistan-1/07afghanistan-1-moth.jpg
New York Times,"As Scotland’s ‘Trainspotting’ Generation Ages, the Dead Pile Up",What happens as opioid abusers hit middle age? “What your body tolerates at 18 it doesn’t tolerate at 38 or 48.”,"Thu, 08 Aug 2019 04:17:51 +0000",https://www.nytimes.com/2019/08/07/world/europe/scotland-heroin-deaths.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/06/world/06scotland-drugs-promo/06scotland-drugs-promo-moth.png
BBC News,Hong Kong: US calls China a 'thuggish regime' amid fresh protests,"The US accuses China of being a ""thuggish regime"", a barb China dismisses as ""gangster logic"".","Fri, 09 Aug 2019 13:09:07 GMT",https://www.bbc.co.uk/news/world-asia-china-49289460,
BBC News,Cyanide bombs: US says it's OK to kill wild animals with deadly poison,"M-44 devices, in use since the sixties, have been reauthorised for use despite opposition.","Fri, 09 Aug 2019 13:41:01 GMT",https://www.bbc.co.uk/news/newsbeat-49292681,
BBC News,"Chaco forest, home of an ancient indigenous tribe, is destroyed at dramatic rates",An area two and half times the size of Hong Kong is deforested every year.,"Fri, 09 Aug 2019 13:35:02 GMT",https://www.bbc.co.uk/news/world-latin-america-49293044,
BBC News,Cambodian man rescued after four days trapped in cave,The man was collecting bat droppings when he slipped and became wedged between rocks in a jungle cave.,"Fri, 09 Aug 2019 08:46:34 GMT",https://www.bbc.co.uk/news/world-asia-49288550,
BBC News,Russian panic over Arctic rocket accident radiation scare,People rush to buy iodine pills after a rocket engine explosion and radiation spike at a military site.,"Fri, 09 Aug 2019 14:23:57 GMT",https://www.bbc.co.uk/news/world-europe-49295521,
BBC News,Kashmir dispute: Residents attend Friday prayers amid lockdown,"Residents in the Muslim-majority valley are allowed to attend mosques, but tight restrictions continue.","Fri, 09 Aug 2019 11:34:50 GMT",https://www.bbc.co.uk/news/world-asia-india-49289680,
BBC News,Mexico violence: Nine bodies found hanging from bridge,A banner hanging from the bridge reportedly bore the initials of one of Mexico's powerful drug gangs.,"Fri, 09 Aug 2019 09:30:42 GMT",https://www.bbc.co.uk/news/world-latin-america-49289716,
BBC News,Canadian Kristian Lee Baxter released from Syria detention,"Kristian Lee Baxter appears at a news conference in Beirut, nine months after being detained.","Fri, 09 Aug 2019 12:51:20 GMT",https://www.bbc.co.uk/news/world-middle-east-49291172,
BBC News,Kacaman: Burundi's YouTube star dies of malaria aged six,"Darcy Irakoze, known as Kacaman, contracted the illness on Wednesday and died a day later in Burundi.","Fri, 09 Aug 2019 12:45:39 GMT",https://www.bbc.co.uk/news/world-africa-49293782,
